URL,Name,Column 3
https://www.amazon.com.tr/gp/profile/amzn1.account.AGBHRFSRN4UHKCKDHWQGBJYUK2KQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,İrem,"Yorumlara bakarak satın aldım. AirPods 3 ile ilgili şunu söyleyebilirim.: daha önceden 1. nesil kullanıyordum. İlk çıktığında almıştım. Çok uzun zaman olduğu için pil ömrünü tamamlamıştı ve şarjı çok çabuk bitiyordu. Bu yüzden yeni bir AirPods ihtiyacım oldu. 2. Ve 3. nesil arasında çok arada kaldım. Kulağıma uyumaz, düşer diye 3. nesil alma konusunda çok tereddütte olmama rağmen aldım. Yaklaşık 4 saattir kulağımda ve asla düşme yapmadı. Fakat kulağım ağrıttı. Zamanla alışacağımı düşünüyorum çünkü birinci nesil aldığımda da kulağımda uzun süre tuttuğunda hafif bir ağrı olmuştu.Onun haricinde ses kalitesi olarak çok büyük bir fark hissedemedim. Yani 2. nesil de tercih edilebilir. Fiyat farkı daha fazla olsaydı 2. nesil tercih ederdim. Ama daha yeni diye 3. nesli tercih ettim.Orijinallik konusuna gelecek olursak. Seri numarası 10 haneli olduğu için Apple‘ı aradığımda 12 haneli olması gerektiğini ve Orjinal olmadığını söylediler. 3 4 farklı temsilciye Bağlanmam sonucunda on haneli seri numarasının da olabileceği söylendi. Seri numarasını Apple‘da sorgulattığımda böyle bir ürün yok diye çıktı. Ancak bilgisayardan sorgulattığımda en sonunda bulabildim. Ama hala kafam karışık. Fatura ürünle beraber gelmiyor. Ancak Amazon siparişlerim bölümüne bilgisayardan girdiğinizde PDF olarak çıkıyor.prime üyeliği sayesinde kargo elime 14 saat gibi çok kısa bir sürede ulaştı. Kargodan çok memnun kaldım. Ürünün de Orjinal olduğunu düşünmek istiyorum. Çalışması ya da teknikle alakalı herhangi bir problem kesinlikle yok.Evime yakın olsa Apple‘a götürüp sorgulatacağım fakat yakın değil. Buradan satın almış olup orijinalliğini teyit ettirebilen varsa yorum olarak yazabilirse çok sevinirim.Güncelleme: Ürünü alalı 1 hafta oldu. Şarjı baya gidiyor. Kulağımda ağrı da yapmıyor. Fakat arada düzeltiyorum çünkü düşecek gibi oluyor.Garantisi Apple sisteminde görünmüyor. Faturamı ve ürünün fotolarını ilettim. Apple ile görüştüm ve dönüş yapacaklarını söylediler. Bekliyorum.Aklı olan 300 lira kar edicem diye düşünmesin ve kendi sitesinden alsın diyorum.Güncelleme: Apple destekle büyük uğraşlarım sonucu problemi çözdüm ve şu an 2 yıl garantili olarak sistemde görünüyor. Ama Türkiye değil Amerikadaki yetkililer yardımcı olabildi. Orjinallikle alakalı bir problem olduğunu düşünmüyorum.Kulaklarım da artık acımıyor. Kulaklığa alıştı. Sadece büyüklüğünden dolayı arada düzeltme ihtiyacı hissediyorum ama hiç düşmedi.2 AYDIR KULLANIYORUM, ŞARJI ÇOK İYİ GİDİYOR, KULAĞIMDAN HİÇ DÜŞMEDİ, ACITMIYOR, SPORDA DA ÇOK RAHAT. GAYET MEMNUNUM. NO PROBLEM"
https://www.amazon.com.tr/gp/profile/amzn1.account.AGPVD3B6GDCY2ETDXLJB5O34NNPQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Amazon Customer,"1.nesil ve 2. nesil AirPods kullanan biri olarak, sırf uçları silikonlu olduğu için Pro modelini almadım. Bu model resmen tam istediğimiz gibi oldu. Kullanım süresi 2.nesil ve Pro'dan çok daha iyi, uzamsal ses opsiyonu kesinlikle denenmesi gereken özellik. 2.nesilde yaşadığım kulağa taktığımızda tanımama sorunu bu modelde, ten algılama sensörü ile tamamen çözülmüş. Bütçeniz uygunsa düşünmeden bu modeli tercih edin pişman olmazsınız. Titiz paketleme ve ertesi gün teslimat için teşekkür ederim."
https://www.amazon.com.tr/gp/profile/amzn1.account.AFDQRIWZM434IHRKLAKFJGVNOMWQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,MEST06,"Öncelikle expres kargo seçeneğini seçtiğim için kargom 1 günde geldi kargoya diyecek hiçbir şey yok bu konuda başarılılar. Ürüne gelecek olursak kulaklıkların içinde bulunduğu şarj kutusunda , (sıfır kutuyu kendim açmış olmama rağmen ) çizikler vardı. Bu konuyu dert etmedim fakat şarj cihazının şarjı gece %50 iken hiç kullanmamama rağmen sabah %17 ye düşmüştü oysaki 3. Nesil airpods hızlı şarjı ve şarj süresiyle öne çıkan bir üründü (uzamsal ses hariç , ona diyecek bir şey yok gayet iyi) bu problemlerden sonra ürünün seri numarasını Apple’ın sayfası üzerinden tarattım ve geçersiz seri numarası hatası aldım. Defalarda denedikten sonra apple ile görüştüm be bir daha denememi söylediler sonraki deneyişimde ürün gözüktü ürün orijinalmiş problem yok ama her apple tr ürününde olan 2 yıl garanti süresi bu cihaz da bitmiş gözüküyordu sonrasında gürgençler apple’a götürdüm cihazı seri numarasına baktıklarında ürünün yurtdışı olduğunu söylediler ve iade etmemin en sağlıklısı olacağı kanısına vardık. bunca sorundan dolayı iade etmeye karar verdim ve amazon en hızlı seçeneğin değişim olduğunu söyleyince şansımı bir kez daha denemek istedim 2 gün önce kusurlu ürünü kargoya verip amazona yolladım ve yeni ürünün cidden sıfır çiziksiz türkiye seri numaralı ve sistemde garantisiyle birlikte görünür olmasını ümit ederek bekliyorum… amazon kalitesine diyecek bir şey cidden yok. Çok hızlı geri dönüşleri müşteri temsilcileri vs. Harika işler yapıyorlar ama müşteriler olarak bu tarz problemleri amazon tarafından yaşamak bizleri üzüyor…"
https://www.amazon.com.tr/gp/profile/amzn1.account.AENLL3DBIJJIFSLVKDV2AFUHM53A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Muharrem,"Airpods' un seri numarasını apple üzerinden sorguladığınızda hata alırsanız(satın alma tarihinizi bulamadık gibi) ve airpods' unuzu apple cihazınıza bağladığınızda garanti süresini 24 aydan daha az görürseniz kesinlikle paniğe kapılmayın. Merak etmeyin size kullanılmış cihaz gelmedi. Eğer airpods'unuzu satıcı olarak amazon.com.tr'den aldıysanız ve kutunun emniyet kağıtlarını ilk defa siz yırtarak açıyorsanız paniğe kapılmanıza gerek yok.Yukarıdaki sıkıntıları yaşıyorsanız yapmanız gerekenler adım adım şu şekilde:1)Amazon.com.tr -> Siparişlerim kısmına girerek airpods siparişinizin e-faturasını pdf olarak bilgisayarınıza indirip hazırda tutun.2)İsterseniz direkt olarak apple' ı arayın ya da onlar beni arasın derseniz apple.com üzerinden veya iphone'unuzdan airpods ile ilgili ""beni ara"" randevusu oluşturun.3)Apple ile telefonda görüşürken ürününüzü amazon.com.tr üzerinden aldığınızı ve seri numarası ile sorgulama yaptığınızda garanti süresini göremediğinizi belirtin. Ayrıca airpods faturanızın pdf formatında hazırda olduğunu belirtirseniz işiniz çok hızlı ilerler.4)Bu bilgileri verdikten sonra görüşme devam ederken apple çalışanı sizin apple'daki kayıtlı mail adresinize bir mail gönderecek. Mail içerisindeki linkle tıkladığınızda apple'ın kendi sitesine pdf e-faturanızı yükleyebileceksiniz.5)Faturayı yükledikten sonra hızlı bir şekilde apple çalışanı bilgilerinizi kontrol edip bu durumun düzeltilmesi için apple' ın irlanda ofisini sizinle birlikte arayacak eğer ingilizceniz varsa siz kendiniz görüşebilir veya apple çalışanı sizin için arada tercümanlık yapabilir bu tamamen sizin tercihinize kalmış. Ben ingilizcem olduğu halde apple çalışanı ile birlikte bağlandım.6)Görüşme sırasında irlanda ofisinden cihazınızın seri numarasını ve faturanızın üzerindeki yazan tarihi teyit alacaklar. Apple çalışanı bunu sizin için tercüme edecek merak etmeyin. Hiç ingilizce bilmenize gerek yok.7)Teyit işleminden sonra garanti sürenizin güncellenmesi 5 gün civarı sürebilir şeklinde bilgi verilecek. Fakat ben telefonu kapatana kadar tarih çoktan güncellenmişti.İşlemler bu kadar.Okurken size çok uzun bir süre gibi gelebilir ama bu işlemleri benim dediğim gibi hazırlıklı yaparsanız 30 dakikalık iş. Bu problemi ilk yaşadığımda internet fazla bilgi olmadığı için araştırma yaptım. 09.05.2022 tarihinde sipariş ettiğim airpods' un apple üzerinden garantini sorgulayıp hata alınca ve daha sonra ve airpodsları telefona bağladığımda garantinin 04.03.2022 tarihinde yani ben almadan 2 ay önce başladığını görünce biraz panik olmadım değil. Bu durumu biraz araştırınca kesin olmamakla birlikte apple' ın kendisi haricindeki firmalara ürünleri verirken firmaların depolarına ürün girdiği tarihten itibaren garantiyi başlattığı bu yüzden garantinin kullanımda olduğu bilgisini gördüm. Bu bilgi ne kadar doğrudur bilemem fakat benim açımdan ürünle ilgili herhangi bir sıkıntı kalmadı. Sıfır ürünü kutudan çıkardım, iphone ile eşleştirdim, kutu üzerindeki seri no ile iphone' umda eşleştirdiğimdeki seri no aynı ve apple ile görüşerek garanti süresinide düzelttirdim.Eğer benim yaşadığım durumu yaşarsanız umarım bu bilgiler sizin için yararlı olur. Güle güle kullanın."
https://www.amazon.com.tr/gp/profile/amzn1.account.AEVQE43BN3EI3L77W7QGGXDZDPSQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Tuğçe Atış,"3 yıl boyunca 2. Nesil kullandım şimdi 3. Nesile geçtim. 2.nesil narin yapısı gereği kulaktan kesinlikle düşmüyordu ve hafifti, üstüne işaret parmağıyla dokunarak çok rahat cevaplama vs yapılıyordu fakat 3. Nesilde iki parmakla uç kısmı sıkmak gerekiyor. Kulağa takılan kısım büyütülmüş ve ağırlaşmış bu nedenle kafamızı yana yatırdığımızda kulaktan düşüyor. 2. Nesil 1 kez bile kulağımdan düşmedi.2. Nesildeki gibi tek parmakla üzerine tıklama yerine uç kısmı 2 parmakla sıkmak gerekiyor buda bir eksi olmuş. Bilseydim kesinlikle almaz yeniden 2. Nesil alırdım."
https://www.amazon.com.tr/gp/profile/amzn1.account.AF535NDRNSVP5J4OLTK52B23ZYRA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Tuna,"2. Nesil ve pro modelini kullanmadım, pro versiyonuna göre daha estetik, 2. Nesile göre ise daha küçük olduğu için kulağa tam oturuyor ve inanılmaz hafif. Ses kalitesi günlük işler, film ve müzik için çok çok yeterli. Fiyat aralığı sebebiyle pro ve 3. Nesil arasında kalmıştım lakin slikonlu kulaklık kulağımı ağrıtıyor, terletiyor ve tıkanmış hissinden rahatsız oluyorum. Gürültü engellemeyi çok çok aramadığım için bu modeli tercih ettim. Mikrofon kalitesini facetime ve normal arama ile denedim arkadaşlarım berrak geldiğini söyledi. Kafamı kulaklığın düşmesini sağlamak için baya salladım lakin saçma bir şekilde kıpırdamadı bile yarım günlük deneyimim bu şekilde"
https://www.amazon.com.tr/gp/profile/amzn1.account.AHLQHU4EWVM4XNIIDIKYIOBZGI7Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Mehmet,Uzanımsal ses deneyimi için bile alınır. Farklı bir hissiyatı var çok begendim. Ses kaliteside uzanımsal sesi açtığınızda bariz değişiyor. Konuşmalar gayet iyi ve net .Apple cihazınız yoksa android için almanıza değmez çünkü kulaklık bir anda 200 tl lik kulaklıklara dönüşüyor. Apple cihazı olmayanlara önermem.
https://www.amazon.com.tr/gp/profile/amzn1.account.AGR4Q4R4WFXIIVMQSO4TT6CZSVGQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Esra Çelebi,Yeni satın aldım. Her şey güzel seri numarasından orjinalliğini neden sorgulayamıyorum merak ediyorum. Seri numarası orjinal değilmiş gibi gösteriyor.
https://www.amazon.com.tr/gp/profile/amzn1.account.AFCI6AD6SLIBKC56YP3YNSYXVQLA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Meriç Cem Eyyüboğlu,Amozanun kargosuna teslimatına veya geri iadesine diyecek birşeyim yok.Lakin ürünler hep kusurlu almayın.Ben ilk airpods 2. Nesil aldım sıkıntı çıktı.İade ettim tekrar aldım yine sıkıntı çıktı.Onuda iade ettim üstüne fark verip 3.nesil aldım bu kulaklıkta sıkıntılı çıktı. 2.nesillerde 2 kulaklık aparatınıda eş zamanlı kullanmış olsanda şarjları arasında çok fark vardı.Biri diğerinden yarım saat erken bitiyordu.3.Nesilde bu fark o kadar çok değil fakat gece kulaklıkları kutuda şarja koyuyorum sabah kalkıyorum şarj olmamış.Kapağı açıp düzeltiryorum bişeler yapıyorum %100 oluyor ama ertesi gün yine aynı.Apple ‘ın kendi mağazasından alınanlarda böylemidir bilmiyorum ama ben artık amazondan elektronik ürün almıyacağım.Not: neden iade ettikten sonra başka yerdrn almadınki diyebilirsiniz.Hata yapıp iadeyi cüzdana istedim.Cüzdana istenen iadeler nakit olarak iade olmuyor.Yine amazondan alışveriş yapmak zorunda kalıyorsun.Sakın o hataya düşmeyin
https://www.amazon.com.tr/gp/profile/amzn1.account.AGD5NQBLOINV6QN4FDKVPAE4FV2A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,GÖKHAN KEKEÇ,Ürünü iki gün önce Pazar günü saat 16:00 gibi sipariş ettim ve bir sonraki sabah saat 09:54'de Bağcılar'da bulunan iş yeri adresime dahası Prime kargo hizmeti olmaksızın hızlı bir şekilde teslim edildi. Apple site üzerinden garanti süresini de seri numarası ile kontrol ettim ve hiç bir sorun çıkmadı. Özellikle bu konuda sorun olduğu hususunda yapılan yorumlar kafamı karıştırmıştı ancak sonunda Amazon kalitesine güvenmeye devam ettim ve siparişi verdim çünkü daha önce değişik tarihlerde 2 adet cep telefonu almıştım ve onlarda da sorun yaşamadım kesinlikle. Son olarak cihazı 2 gündür kullanıyorum ve ilk izlenimim olumlu. Ses kaliteli ve ergonomisi iyi. Sadece gülerken sol kulağımdaki airpod düşecek gibi oldu ve refleksle tuttum. ama iyi oturuyor genel anlamda ve sorun çıkacak gibi gözükmüyor.
